Plant,fever,cough,cold,skin inf,constipation,inflammation,sore throat,stress,anxiety,insomnia,headache,nausea,immunity,digestion
Tulsi,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Neem,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Aloe Vera,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Turmeric,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Ginger,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Ashwagandha,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Peppermint,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Amla,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Mint,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Isabgol,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Licorice,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Marshmallow,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Andrographis,1,0,1,0,0,1,0,0,0,0,0,0,1,0
Willow Bark,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Lemon Balm,0,0,0,0,0,0,0,1,1,1,1,1,0,0
Witch Hazel,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fenugreek,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Maca Root,0,0,0,0,0,0,0,1,1,1,0,0,0,1
Elderflower,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Passionflower,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Schisandra,0,0,0,0,0,1,0,1,1,1,0,0,1,1
Chamomile,0,0,0,0,0,0,0,1,1,1,1,0,0,1
Calendula,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Echinacea,1,1,1,0,0,1,1,0,0,0,0,0,1,0
Fennel,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Valerian,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Holy Basil,1,1,1,0,0,0,0,1,1,1,0,0,1,1
Coriander,0,0,0,1,1,0,0,0,0,0,0,1,0,1
Cardamom,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bael,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Brahmi,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Elderberry,1,1,1,0,0,0,1,0,0,0,0,0,1,1
Lavender,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Thyme,0,1,1,0,0,1,1,0,0,0,0,0,0,1
Hibiscus,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cinnamon,0,0,0,0,1,1,0,0,0,0,1,0,1,1
Bay Leaf,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Basil,0,1,1,0,0,1,1,0,0,0,0,0,1,1
Gotu Kola,0,0,0,0,0,1,0,1,1,1,0,0,1,0
Black Pepper,0,0,0,0,0,1,0,0,0,0,0,1,1,1
Clove,0,1,0,0,0,1,1,0,0,0,1,0,0,0
Feverfew,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Licorice Root,0,1,0,0,0,1,1,0,0,0,0,0,0,1
Mullein,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Nettle,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Red Clover,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Rosemary,0,0,0,0,0,1,0,0,0,0,1,0,1,1
St. John's Wort,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Yarrow,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Zingiber (Ginger),0,1,1,0,0,1,1,0,0,0,0,1,1,1
Cascara Sagrada,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Slippery Elm,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Goldenrod,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anise,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Black Cohosh,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Ginkgo Biloba,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Milk Thistle,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Oregano,0,0,1,1,0,1,0,0,0,0,0,0,1,1
Sarsaparilla,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Suma Root,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Valerian Root,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Yerba Mate,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ginseng,1,0,0,0,0,0,0,1,1,1,0,0,1,1
Dandelion,0,0,0,1,1,1,0,0,0,0,0,0,1,1
Catnip,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Parsley,0,0,0,1,1,0,0,0,0,0,0,1,0,1